Model,Cohort,Split,repeat,Experiment,n,MCC,Brier,NLL,MCC eligible
HBAF,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset14,64,-0.12803687993289598,0.2511272777983923,0.6991627839015302,True
HBAF,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset16,64,,0.0008128664186962723,0.01981551405100101,False
HBAF,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset8,64,,0.001822345585393455,0.015484266074881388,False
HBAF,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset17,27,1.0,0.0042362964658600915,0.018404695889068814,True
HBAF,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset18,64,,2.001810471393932e-05,0.004111932321699119,False
HBAF,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset2,12,,0.689449355526563,1.8457245795719295,False
HBAF,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset4,12,,0.06939117232340061,0.2533195640630668,False
HBAF,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset6,64,,0.029275548693296616,0.12726723675730198,False
TabM calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset11,64,,0.11399966624741767,0.3594841067736262,False
TabM calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset12,64,,0.017332956790220875,0.10481141606758321,False
TabM calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset15,64,0.0,0.1033446212176099,0.320562401505139,True
TabM calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset14,64,0.60279628678631,0.41874633774918674,1.3251627199388878,True
TabM calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset16,64,,0.0011995668398711286,0.02234128075917413,False
TabM calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset8,64,,0.004039415195218604,0.02111867508099904,False
TabM calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset17,27,0.0,0.005869511936401618,0.019186270857539926,True
TabM calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset18,64,,8.0492091290996e-06,0.0020319754674055696,False
TabM calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset2,12,,0.7985139204761329,2.6561084758284776,False
TabM calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset4,12,,0.06389950611435731,0.24957715322090568,False
TabM calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset6,64,,0.04050642134971516,0.15554564763208312,False
GaussianNB calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset11,64,,0.261180913773697,0.7550395396711403,False
GaussianNB calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset12,64,,0.002473489138824606,0.04295547405651303,False
GaussianNB calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset15,64,0.29277002188455997,0.12207363441608435,0.40972863634572987,True
GaussianNB calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset14,64,-0.14907119849998599,0.24923943266496523,0.7386124647768706,True
GaussianNB calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset16,64,,5.602371123391261e-05,0.007354807596452583,False
GaussianNB calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset8,64,,3.254470851284886e-05,0.005714005973212021,False
GaussianNB calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset17,27,0.0,0.00019133874498082645,0.011433850000918188,True
GaussianNB calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset18,64,,8.552790408920995e-05,0.009084518010365819,False
GaussianNB calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset2,12,,0.6223297349317493,1.6644679149543158,False
GaussianNB calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset4,12,,0.10113066654872825,0.29924308359552726,False
GaussianNB calibrated,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset6,64,,8.212764847312431e-05,0.008747567535262844,False
Global learned fusion,Current nested-threshold,Development OOF,3,imi_vmx30ui::dataset11,64,,0.13963211598454348,0.4392723283512999,False
