Model,Cohort,Split,repeat,n,MCC,PR-AUC,Macro-F1,AUROC,Precision,Recall,Specificity,FPR,FNR,Balanced Accuracy,Brier,NLL,ECE,Calibration intercept,Calibration slope,Worst-group MCC,Worst-group Brier,Worst-group NLL,Group MCC SD,Eligible MCC groups
Gaussian Naive Bayes,Notebook03 nested-threshold,Development OOF,4,563,0.6308825663202118,0.5885124958366023,0.7991780397022332,0.8963284692624431,0.5906735751295337,0.8976377952755905,0.8188073394495413,0.1811926605504587,0.10236220472440945,0.8582225673625659,0.10068855238540686,0.3122766994424193,0.06937437495989267,-0.6080701151759738,0.8084766812509684,0.0,0.7955212734747774,2.353617997223085,0.4714045207910317,3
Gaussian Naive Bayes,Notebook03 nested-threshold,Development OOF,5,563,0.6903744755584188,0.5802871761882716,0.8290911638333645,0.8939265332659105,0.6282722513089005,0.9448818897637795,0.8371559633027523,0.1628440366972477,0.05511811023622047,0.891018926533266,0.13042164964142405,0.401445254277349,0.15486510264819897,-0.6123876088718994,0.6749349361507208,0.0,0.6348414275741221,1.6523122968458848,0.4714045207910317,3
Quantile Naive Bayes,Notebook03 nested-threshold,Development OOF,1,563,0.515596457445415,0.5961059433102793,0.7574231508721536,0.7509029834573431,0.6440677966101694,0.5984251968503937,0.9036697247706422,0.0963302752293578,0.4015748031496063,0.751047460810518,0.1384534178851651,0.8050539734033536,0.15971839676963712,-0.9102223653395606,0.1894782994035619,0.0,0.9957755935890393,11.945615059196443,0.13074409009212268,3
Quantile Naive Bayes,Notebook03 nested-threshold,Development OOF,2,563,0.7270783632123767,0.7304771008247328,0.8574110215574393,0.839666257314166,0.8958333333333334,0.6771653543307087,0.9770642201834863,0.022935779816513763,0.3228346456692913,0.8271147872570974,0.13832534431865054,0.4950012492604313,0.17401957916367033,0.08852247918940613,0.6712419916537148,0.0,0.9886692982659323,5.170541662650007,0.22512721116865683,3
Quantile Naive Bayes,Notebook03 nested-threshold,Development OOF,3,563,0.611522740389341,0.5661001323875156,0.8055160216108662,0.7682402658383297,0.7166666666666667,0.6771653543307087,0.9220183486238532,0.0779816513761468,0.3228346456692913,0.799591851477281,0.1490709874809962,0.6733591913150507,0.18358647597049738,-0.9749037594235742,0.20632354071617973,0.0,0.9583948062961043,3.862110015943386,0.1901991340524852,3
Quantile Naive Bayes,Notebook03 nested-threshold,Development OOF,4,563,0.6444691565597581,0.6248604361685928,0.8221071286285393,0.7905620169038503,0.7377049180327869,0.7086614173228346,0.926605504587156,0.07339449541284404,0.29133858267716534,0.8176334609549953,0.12120038583261121,0.74684524470319,0.12415934367590917,-0.7329030435821812,0.2115827490777027,0.0,0.9999999588009453,13.815510557964274,0.22512721116865683,3
Quantile Naive Bayes,Notebook03 nested-threshold,Development OOF,5,563,0.5122950045245943,0.6746207251392914,0.7549208872738284,0.8111229502275519,0.6576576576576577,0.5748031496062992,0.9128440366972477,0.0871559633027523,0.4251968503937008,0.7438235931517734,0.11350862344430722,0.42153028506075346,0.0811380134229949,0.1615266942982536,0.7147974231412484,0.0,0.9808960723502119,4.646197944847828,0.11009637651263607,3
Static TAN Bayesian Network,Notebook03 nested-threshold,Development OOF,1,563,-0.04064211108127089,0.24326128263677393,0.39202227712461024,0.4108665029256664,0.21311475409836064,0.6141732283464567,0.3394495412844037,0.6605504587155964,0.3858267716535433,0.4768113848154302,0.20727097599687422,0.6471082467262207,0.32855054726052324,-1.936681308009522,-0.5230236377030923,-0.20351933162035313,0.66110453145644,2.1041480537386144,0.09593993299420363,3
Static TAN Bayesian Network,Notebook03 nested-threshold,Development OOF,2,563,-0.3208267840053496,0.2018617131637594,0.3392018779342723,0.3780430542512461,0.0,0.0,0.6628440366972477,0.33715596330275227,1.0,0.33142201834862384,0.22256133509192538,1.16465517261254,0.26168964130505096,-1.4052239008517018,-0.04217956080179184,-0.038461538461538464,0.7490854268474296,6.737751167997943,0.018130943107347374,3
Static TAN Bayesian Network,Notebook03 nested-threshold,Development OOF,3,563,0.18479453914214994,0.3024175972200793,0.5593665116707334,0.6008722820197934,0.312,0.6141732283464567,0.6055045871559633,0.3944954128440367,0.3858267716535433,0.6098389077512101,0.20137541023282893,0.5928514786648664,0.17952757371451933,-0.9445044173158941,0.2953739856605762,-0.17541160386140583,0.556875824157394,1.6057373989385768,0.0826898230594723,3
